"time","PM1.SSE","PM1.wconn.F_exc","WEC1.F_rad","WEC1.z","WEC1.v_z","WEC1.a_z"
333.4,0.6799210585729716,765807.5628572654,34736.15546324872,0.5471393082634095,0.3300289079201318,-0.4091749429350565
333.5,0.6436185963282613,726944.9159647593,23240.19047833577,0.5779979829318633,0.2861759096142001,-0.4672757284935339
333.6,0.6048063689834753,681209.6526096568,9650.493128352929,0.6041874294938203,0.2367150039524491,-0.5211392552319034
333.7,0.5658620487738024,629283.1128756356,-6090.522195115747,0.6251699716174689,0.1821275471019629,-0.5696193731030703
333.8,0.5287407084269016,571959.8684825336,-23982.09836311048,0.6404617240077578,0.1230072386659204,-0.6116188311196488
333.9,0.494859481856761,510133.7423296786,-43962.92043880925,0.6496435381677462,0.06005403650222881,-0.6461131987121402
334,0.465029100783352,444780.3147414832,-65910.05427437081,0.6523712454385074,-0.005934236019273847,-0.6721749868868369
334.1,0.4394352804078703,376936.338847167,-89639.24342835884,0.6483849013377895,-0.07407287211873329,-0.6889972257660613
334.2,0.4176689113679219,307676.6309615896,-114906.4578353571,0.6375168380902578,-0.1434034407523098,-0.6959159878673685
334.3,0.3988002788571446,238089.1272622925,-141410.7816372466,0.619698287340096,-0.2129091345341794,-0.6924311191944168
334.4,0.381489368610795,169248.898962279,-168798.6394139859,0.5949643642138125,-0.2815320984288175,-0.678224475435461
334.5,0.3641219658841576,102191.9890353033,-196669.3071659267,0.5634572370223255,-0.3481924067829422,-0.6531749987543273
334.6,0.3449598593980689,37889.97012226009,-224581.6592939108,0.5254273276378248,-0.411808367873527,-0.6173699791561664
334.7,0.3222930891240702,-22773.87719061537,-252062.0547154066,0.481232440395889,-0.4713177422485282,-0.5711119447222134
334.8,0.2945827951519519,-79025.90501661396,-278613.2484587606,0.4313347277444733,-0.5256994118978526,-0.5149206680628903
334.9,0.2605847211513756,-130220.1728617599,-303724.1709721854,0.3762954772165013,-0.5739949874544074,-0.4495299467617106
335,0.2194456170301381,-175852.5822259209,-326880.3674934666,0.3167678218433922,-0.6153298262976605,-0.3758790656757006
335.1,0.1707674388215041,-215570.538531468,-347574.9473179228,0.2534872790357276,-0.6489328686270927,-0.2950986100337429
335.2,0.1146371013451423,-249177.7746452492,-365319.747694149,0.1872605165511281,-0.6741548766587167,-0.2084911633947724
335.3,0.05162234155815691,-276634.1556075538,-379656.4948448064,0.1189524762724537,-0.690484556009156,-0.1175070963531129
335.4,-0.01726323880363103,-298050.4803082583,-390167.7662484242,0.04947175432979856,-0.6975618352447377,-0.02371540892574022
335.5,-0.09062085729102246,-313678.4943941091,-396487.4021075892,-0.02024506022306106,-0.695188158401012,0.07122908004424185
335.6,-0.1667464627850473,-323896.5210137787,-398310.1175592786,-0.08924992646806904,-0.6833332549802332,0.1656216307823772
335.7,-0.2437226610594592,-329191.2935532682,-395400.0659767134,-0.1566003510068265,-0.6621382350793616,0.2577455394481447
335.8,-0.3195154117759255,-330136.7291627559,-387598.1412441086,-0.2213764942858536,-0.6319148577184864,0.3459111659911784
335.9,-0.3920688498678128,-327370.5063168545,-374827.8035469374,-0.2826980493839282,-0.5931408566293586,0.4284950039540361
336,-0.4593926825580207,-321569.3977021014,-357099.2435835921,-0.3397404469027422,-0.5464514266635082,0.5039775737335482
336.1,-0.5196380566065086,-313424.3566543283,-334511.7356939247,-0.391750022678916,-0.4926270117649496,0.5709790338255548
336.2,-0.5711594000118592,-303616.3581522331,-307254.0829084275,-0.4380577818470871,-0.4325776915859713,0.6282914254053544
336.3,-0.6125613380896595,-292793.9529146657,-275603.0924277072,-0.4780914338132827,-0.3673245351826413,0.6749065640743526
336.4,-0.6427312022680378,-281553.4064178544,-239920.1718859052,-0.5113855100743154,-0.2979785207724037,0.7100389108601274
336.5,-0.6608587601677293,-270422.166760925,-200645.9047682693,-0.5375891613223195,-0.2257172936643367,0.7331423932452609
336.6,-0.6664455105692293,-259846.24147869,-158292.8878980176,-0.5564716212037724,-0.1517606604775385,0.7439210064354754
336.7,-0.6593061700462666,-250181.8708393363,-113436.8952424742,-0.5679251618060421,-0.07734532754599008,0.7423327796623148
336.8,-0.6395648438968276,-241691.672809328,-66706.61455718183,-0.5719655904855885,-0.00369955641997582,0.7285872148906946
336.9,-0.6076478838416569,-234545.2130551012,-18772.11300167763,-0.5687301856069189,0.0679816154275298,0.7031361549737034
